Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
4,Nitriansky kraj,402,Levice,402,Levice,502456,Kukuèínov,1,  491,  117,23.82,  117,100.00,  116,99.14
4,Nitriansky kraj,402,Levice,402,Levice,502464,Kura¾any,1,  433,  193,44.57,  193,100.00,  192,99.48
4,Nitriansky kraj,402,Levice,402,Levice,502031,Levice,47, 27 128, 11 743,43.28, 11 742,99.99, 11 536,98.24
4,Nitriansky kraj,402,Levice,402,Levice,502481,Lok,1,  817,  233,28.51,  233,100.00,  232,99.57
4,Nitriansky kraj,402,Levice,402,Levice,502499,Lontov,1,  516,  81,15.69,  81,100.00,  81,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502502,Lula,1,  151,  61,40.39,  61,100.00,  58,95.08
4,Nitriansky kraj,402,Levice,402,Levice,502511,Málaš,1,  419,  123,29.35,  123,100.00,  123,100.00
4,Nitriansky kraj,402,Levice,402,Levice,581135,Malé Kozmálovce,1,  332,  121,36.44,  121,100.00,  121,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502537,Malé Ludince,1,  138,  30,21.73,  30,100.00,  30,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502570,Mıtne Ludany,1,  771,  215,27.88,  215,100.00,  213,99.06
4,Nitriansky kraj,402,Levice,402,Levice,502588,Nová Dedina,1, 1 256,  617,49.12,  617,100.00,  603,97.73
4,Nitriansky kraj,402,Levice,402,Levice,502596,Novı Tekov,1,  712,  314,44.10,  314,100.00,  309,98.40
4,Nitriansky kraj,402,Levice,402,Levice,502600,Nırovce,1,  459,  130,28.32,  130,100.00,  128,98.46
4,Nitriansky kraj,402,Levice,402,Levice,502618,Ondrejovce,1,  359,  126,35.09,  126,100.00,  121,96.03
4,Nitriansky kraj,402,Levice,402,Levice,502626,Pastovce,1,  429,  80,18.64,  80,100.00,  78,97.50
4,Nitriansky kraj,402,Levice,402,Levice,502634,Peèenice,1,  117,  77,65.81,  77,100.00,  75,97.40
4,Nitriansky kraj,402,Levice,402,Levice,502642,Plášovce,2, 1 323,  381,28.79,  381,100.00,  378,99.21
4,Nitriansky kraj,402,Levice,402,Levice,502651,Plavé Vozokany,1,  604,  194,32.11,  194,100.00,  191,98.45
4,Nitriansky kraj,402,Levice,402,Levice,502669,Podluany,1,  640,  330,51.56,  330,100.00,  321,97.27
4,Nitriansky kraj,402,Levice,402,Levice,502677,Pohronskı Ruskov,1, 1 034,  292,28.23,  292,100.00,  283,96.91
4,Nitriansky kraj,402,Levice,402,Levice,502693,Pukanec,2, 1 623,  643,39.61,  643,100.00,  637,99.06
4,Nitriansky kraj,402,Levice,402,Levice,502707,Rybník,1, 1 189,  605,50.88,  605,100.00,  599,99.00
4,Nitriansky kraj,402,Levice,402,Levice,502715,Santovka,2,  572,  230,40.20,  230,100.00,  226,98.26
4,Nitriansky kraj,402,Levice,402,Levice,502723,Sazdice,1,  363,  106,29.20,  106,100.00,  106,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502731,Sikenica,1,  519,  94,18.11,  94,100.00,  92,97.87
4,Nitriansky kraj,402,Levice,402,Levice,502740,Slatina,1,  250,  61,24.40,  61,100.00,  58,95.08
4,Nitriansky kraj,402,Levice,402,Levice,502758,Starı Hrádok,1,  158,  66,41.77,  66,100.00,  66,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502766,Starı Tekov,1, 1 225,  659,53.79,  659,100.00,  651,98.78
